numero_de_proyecto,clave_de_programa,Fondo,id_entidad,entidad,id_municipio,municipio,proyecto,monto,Pagado
893,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,2,ALDAMA,"INFRAESTRUCTURA VIAL  ,   EN EL MUNICIPIO DE ALDAMA ,   EN EL ESTADO DE CHIHUAHUA",500000,0
894,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,4,AQUILES SERDÁN,"INFRAESTRUCTURA VIAL  ,   EN EL MUNICIPIO DE AQUILES SERDÁN ,   EN EL ESTADO DE CHIHUAHUA",500000,0
895,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,20,ATLAHUILCO,"INFRAESTRUCTURA VIAL  ,   EN EL MUNICIPIO DE ATLAHUILCO ,   EN EL ESTADO DE VERACRUZ",450000,0
896,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,19,CHIHUAHUA,"INFRAESTRUCTURA VIAL  ,   EN EL MUNICIPIO DE CHIHUAHUA ,   EN EL ESTADO DE CHIHUAHUA",17618604,0
897,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,5,DURANGO,"INFRAESTRUCTURA VIAL  ,   EN EL MUNICIPIO DE DURANGO ,   EN EL ESTADO DE DURANGO",2100000,0
898,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,32,HIDALGO DEL PARRAL,"INFRAESTRUCTURA VIAL  ,   EN EL MUNICIPIO DE HIDALGO DEL PARRAL ,   EN EL ESTADO DE CHIHUAHUA",1000000,0
899,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,93,TEPATITLÁN DE MORELOS,"INFRAESTRUCTURA VIAL DE LA AVENIDA CARNICERITO ,   EN EL MUNICIPIO DE TEPATITLÁN DE MORELOS ,   JALISCO.",9200000,0
900,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,3,CENTLA,"INFRAESTRUCTURA VIAL DEL MUNICIPIO DE CENTLA ,   TABASCO",8000000,0
901,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,19,CHIHUAHUA,"INFRAESTRUCTURA VIAL DEL MUNICIPIO DE CHIHUAHUA ,   CHIHUAHUA",10000000,0
902,U128,PROYECTOS DE DESARROLLO REGIONAL,8,CHIHUAHUA,37,JUÁREZ,"INFRAESTRUCTURA VIAL DEL MUNICIPIO DE JUÁREZ ,   CHIHUAHUA",10000000,0
903,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,17,TENOSIQUE,"INFRAESTRUCTURA VIAL DEL MUNICIPIO DE TENOSIQUE ,   TABASCO",5000000,0
904,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,1,AGUASCALIENTES,INFRAESTRUCTURA VIAL EN AGUASCALIENTES,700000,0
905,U128,PROYECTOS DE DESARROLLO REGIONAL,1,AGUASCALIENTES,1,AGUASCALIENTES,INFRAESTRUCTURA VIAL EN AGUASCALIENTES EN CALLE ARTÍCULO 51,700000,0
906,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,2,CÁRDENAS,"INFRAESTRUCTURA VIAL EN CALLE CORREA EN EL MUNICIPIO DE CÁRDENAS ,   TABASCO",3616014,0
907,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,2,CÁRDENAS,"INFRAESTRUCTURA VIAL EN CALLES DEL MUNICIPIO DE CÁRDENAS ,   TABASCO",11521800,0
908,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,1,BALANCÁN,"INFRAESTRUCTURA VIAL EN CALLES DEL MUNICIPIO DE BALANCÁN ,   TABASCO",4348648,0
909,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,2,CÁRDENAS,"INFRAESTRUCTURA VIAL EN CALLES DEL MUNICIPIO DE CÁRDENAS ,   TABASCO",1435627,0
910,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,11,JONUTA,"INFRAESTRUCTURA VIAL EN CALLES DEL MUNICIPIO DE JONUTA ,   TABASCO",6377072,0
911,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,50,JOCOTEPEC,"INFRAESTRUCTURA VIAL EN EL BARRIO DE LA PURÍSIMA ,   EN EL MUNICIPIO DE JOCOTEPEC ,   JALISCO.",6000000,0
912,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,9999,COBERTURA ESTATAL,INFRAESTRUCTURA VIAL EN EL ESTADO DE CHIAPAS,352000000,0
913,U128,PROYECTOS DE DESARROLLO REGIONAL,18,NAYARIT,9999,COBERTURA ESTATAL,INFRAESTRUCTURA VIAL EN EL ESTADO DE NAYARIT,137700000,0
914,U128,PROYECTOS DE DESARROLLO REGIONAL,32,ZACATECAS,9999,COBERTURA ESTATAL,INFRAESTRUCTURA VIAL EN EL ESTADO DE ZACATECAS,375000000,0
915,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,1,ABASOLO,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE ABASOLO EN EL ESTADO DE TAMAULIPAS,2000000,0
916,U128,PROYECTOS DE DESARROLLO REGIONAL,24,SAN LUIS POTOSÍ,1,AHUALULCO,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE AHUALULCO ,   ESTADO DE SAN LUIS POTOSÍ",1230000,0
917,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,5,AMATÁN,"INFRAESTRUCTURA VÍAL EN EL MUNICIPIO DE AMATÁN ,   DEL ESTADO DE CHIAPAS",1000000,0
918,U128,PROYECTOS DE DESARROLLO REGIONAL,16,MICHOACÁN,6,APATZINGÁN,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE APATZINGÁN ,   MICHOACÁN",4838895,0
919,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,1,BALANCÁN,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE BALANCÁN ,   TABASCO",3750000,0
920,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,6,BUSTAMANTE,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE BUSTAMANTE EN EL ESTADO DE TAMAULIPAS,1000000,0
921,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,29,CALCAHUALCO,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE CALCAHUALCO DEL ESTADO DE VERACRUZ,3000000,0
922,U128,PROYECTOS DE DESARROLLO REGIONAL,15,MÉXICO,19,CAPULHUAC,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE CAPULHUAC ,   MÉXICO",2250000,0
923,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,2,CÁRDENAS,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE CÁRDENAS ,   TABASCO",16470000,0
924,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,8,CASAS,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE CASAS EN EL ESTADO DE TAMAULIPAS,2000000,0
925,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,4,CENTRO,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE CENTRO ,   TABASCO",23442330,0
926,U128,PROYECTOS DE DESARROLLO REGIONAL,30,VERACRUZ,62,CHOCAMÁN,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE CHOCAMÁN DEL ESTADO DE VERACRUZ,13000000,0
927,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,17,CINTALAPA,"INFRAESTRUCTURA VÍAL EN EL MUNICIPIO DE CINTALAPA ,   DEL ESTADO DE CHIAPAS",1500000,0
928,U128,PROYECTOS DE DESARROLLO REGIONAL,3,BAJA CALIFORNIA SUR,1,COMONDÚ,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE COMONDÚ DEL ESTADO DE BAJA CALIFORNIA SUR,20000000,0
929,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,9,COMONFORT,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE COMONFORT EDO DE GUANAJUATO,2500000,0
930,U128,PROYECTOS DE DESARROLLO REGIONAL,11,GUANAJUATO,11,CORTAZAR,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE CORTAZAR ESTADO DE GUANAJUATO,14000000,0
931,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,10,CRUILLAS,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE CRUILLAS EN EL ESTADO DE TAMAULIPAS,1000000,0
932,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,6,CUNDUACÁN,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE CUNDUACÁN ,   TABASCO",8400000,0
933,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,21,EL MANTE,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE EL MANTE EN EL ESTADO DE TAMAULIPAS,2000000,0
934,U128,PROYECTOS DE DESARROLLO REGIONAL,14,JALISCO,36,ETZATLÁN,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE ETZATLÁN ,   JALISCO.",6000000,0
935,U128,PROYECTOS DE DESARROLLO REGIONAL,19,NUEVO LEÓN,24,GENERAL ZARAGOZA,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE GENERAL ZARAGOZA EN EL ESTADO DE NUEVO LEÓN,3400000,0
936,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,11,GÓMEZ FARÍAS,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE GÓMEZ FARÍAS EN EL ESTADO DE TAMAULIPAS,1000000,0
937,U128,PROYECTOS DE DESARROLLO REGIONAL,10,DURANGO,7,GÓMEZ PALACIO,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE GÓMEZ PALACIO EN EL ESTADO DE DURANGO,14100000,0
938,U128,PROYECTOS DE DESARROLLO REGIONAL,28,TAMAULIPAS,12,GONZÁLEZ,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE GONZÁLEZ EN EL ESTADO DE TAMAULIPAS,1000000,0
939,U128,PROYECTOS DE DESARROLLO REGIONAL,20,OAXACA,43,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA ,   ESTADO DE OAXACA",5000000,0
940,U128,PROYECTOS DE DESARROLLO REGIONAL,31,YUCATÁN,35,HOCTÚN,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE HOCTÚN ,   ESTADO DE YUCATÁN",800000,0
941,U128,PROYECTOS DE DESARROLLO REGIONAL,19,NUEVO LEÓN,29,HUALAHUISES,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE HUALAHUISES EN EL ESTADO DE NUEVO LEÓN,5000000,0
942,U128,PROYECTOS DE DESARROLLO REGIONAL,29,TLAXCALA,14,HUEYOTLIPAN,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE HUEYOTLIPAN ,   ESTADO DE TLAXCALA",1000000,0
943,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,8,HUIMANGUILLO,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE HUIMANGUILLO ,   TABASCO",11880000,0
944,U128,PROYECTOS DE DESARROLLO REGIONAL,19,NUEVO LEÓN,30,ITURBIDE,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE ITURBIDE EN EL ESTADO DE NUEVO LEÓN,4000000,0
945,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,43,IXTACOMITÁN,"INFRAESTRUCTURA VÍAL EN EL MUNICIPIO DE IXTACOMITÁN ,   DEL ESTADO DE CHIAPAS",1100000,0
946,U128,PROYECTOS DE DESARROLLO REGIONAL,7,CHIAPAS,45,IXTAPANGAJOYA,"INFRAESTRUCTURA VÍAL EN EL MUNICIPIO DE IXTAPANGAJOYA ,   DEL ESTADO DE CHIAPAS",2000000,0
947,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,9,JALAPA,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE JALAPA ,   TABASCO",2400000,0
948,U128,PROYECTOS DE DESARROLLO REGIONAL,27,TABASCO,10,JALPA DE MÉNDEZ,"INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE JALPA DE MÉNDEZ ,   TABASCO",5520000,0
949,U128,PROYECTOS DE DESARROLLO REGIONAL,22,QUERÉTARO,9,JALPAN DE SERRA,INFRAESTRUCTURA VIAL EN EL MUNICIPIO DE JALPAN DE SERRA EN EL ESTADO DE QUERÉTARO,1800000,0
